istat_code,name,region_code,region,province_code,province,province_abbr,macro_area_code,macro_area,cadastral_code,nuts1,nuts2,nuts3,istat_code_old,area_km2,latitude,longitude,population_2026,density_km2,share_0_14,share_15_64,share_65_plus,share_80_plus,mean_age,ageing_index,taxpayers,average_income,high_income_share,taxpayers_per_100_residents,coastal,altimetric_zone,altitude_m,coastal_zone,degurba
001001,Agliè,1,Piemonte,1,Torino,TO,1,Nord-ovest,A074,ITC,ITC1,ITC11,001001,13.248,45.366122,7.776115,2584,195.05,10.95,61.11,27.94,10.18,48.5,255.12,2011,27531.75,6.47,77.83,0.0,3.0,333.0,0.0,3.0
001002,Airasca,1,Piemonte,1,Torino,TO,1,Nord-ovest,A109,ITC,ITC1,ITC11,001002,16.04,44.921741,7.483241,3698,230.55,11.84,62.52,25.64,6.46,46.31,216.44,2692,24938.43,4.31,72.8,0.0,5.0,261.0,0.0,3.0
001003,Ala di Stura,1,Piemonte,1,Torino,TO,1,Nord-ovest,A117,ITC,ITC1,ITC11,001003,46.191,45.306906,7.282076,468,10.13,10.04,63.25,26.71,10.47,48.43,265.96,376,27949.87,7.12,80.34,0.0,1.0,1073.0,0.0,3.0
001004,Albiano d'Ivrea,1,Piemonte,1,Torino,TO,1,Nord-ovest,A157,ITC,ITC1,ITC11,001004,11.684,45.431767,7.943832,1633,139.76,10.17,60.56,29.27,8.63,48.96,287.95,1267,26117.01,5.63,77.59,0.0,3.0,233.0,0.0,3.0
001006,Almese,1,Piemonte,1,Torino,TO,1,Nord-ovest,A218,ITC,ITC1,ITC11,001006,17.995,45.118247,7.419994,6231,346.26,10.99,61.76,27.25,8.57,48.26,247.88,4847,31057.69,8.46,77.79,0.0,3.0,375.0,0.0,2.0
001007,Alpette,1,Piemonte,1,Torino,TO,1,Nord-ovest,A221,ITC,ITC1,ITC11,001007,5.558,45.406465,7.576845,235,42.28,7.66,55.32,37.02,10.64,53.02,483.33,188,24122.43,0.0,80.0,0.0,1.0,961.0,0.0,3.0
001008,Alpignano,1,Piemonte,1,Torino,TO,1,Nord-ovest,A222,ITC,ITC1,ITC11,001008,11.903,45.101227,7.51688,16513,1387.3,10.09,60.06,29.86,8.68,48.73,295.92,12655,26607.29,5.11,76.64,0.0,3.0,339.0,0.0,2.0
001009,Andezeno,1,Piemonte,1,Torino,TO,1,Nord-ovest,A275,ITC,ITC1,ITC11,001009,7.481,45.035833,7.866209,1979,264.54,12.18,61.95,25.87,8.39,46.71,212.45,1482,26403.28,7.27,74.89,0.0,3.0,278.0,0.0,3.0
001010,Andrate,1,Piemonte,1,Torino,TO,1,Nord-ovest,A282,ITC,ITC1,ITC11,001010,9.363,45.546262,7.885957,468,49.98,7.69,60.9,31.41,7.26,51.02,408.33,372,24426.64,2.49,79.49,0.0,1.0,842.0,0.0,3.0
001011,Angrogna,1,Piemonte,1,Torino,TO,1,Nord-ovest,A295,ITC,ITC1,ITC11,001011,38.42,44.86086,7.177056,794,20.67,8.69,65.37,25.94,8.19,49.67,298.55,599,21441.0,3.14,75.44,0.0,1.0,765.0,0.0,3.0
